id,name,lat,lng,category,closed_on,regular_hours,special_hours,gap_hours,vibe_tags,avg_duration,diet,rating
1,Sree Padmanabhaswamy Temple,8.483026,76.943563,Temple,None,03:30-12:00; 17:00-19:20,None,12:00-17:00,"Spiritual, Strict, Golden, History",1.5,na,
2,Napier Museum,8.508892,76.955306,Museum,Monday,10:00-16:30,Wed:13:00-16:45,None,"Art, History, Architecture, Quiet",2.0,na,
3,Thiruvananthapuram Zoo,8.508512,76.954911,Zoo,Monday,09:00-17:15,None,None,"Nature, Family, Wildlife, Shady",2.5,na,
4,Kuthira Malika,8.482421,76.944215,Museum,Monday,08:30-12:30; 15:30-17:30,None,12:30-15:30,"Royal, Woodwork, History, Intricate",1.0,na,
5,Attukal Bhagavathy Temple,8.471412,76.953118,Temple,None,04:30-12:30; 17:00-20:30,None,12:30-17:00,"Devotional, Women-centric, Powerful",1.0,na,
6,Azhimala Shiva Temple,8.375124,77.016512,Temple,None,05:30-11:00; 17:00-20:00,Sun:05:30-20:00,11:00-17:00,"Majestic, Sea-side, Statue, Sunset",1.0,na,
7,Vizhinjam Lighthouse,8.384812,76.980011,Landmark,Monday,10:00-12:45; 14:00-17:45,None,12:45-14:00,"Viewpoint, Coastal, Photography",1.0,na,
8,Magic Planet,8.583011,76.865412,Theme Park,Monday,10:00-17:00,None,None,"Family, Fun, Entertainment, Science",3.0,na,
9,Shangumugham Beach,8.477012,76.911612,Beach,None,00:00-23:59,None,None,"Sunset, Sea-breeze, Relaxed, Giant Statue",1.5,na,
10,Veli Tourist Village,8.502412,76.890612,Park,None,08:00-18:00,None,None,"Waterfront, Boating, Art, Family",2.0,na,
11,Lighthouse Beach,8.397011,76.974012,Beach,None,00:00-23:59,None,None,"Iconic, Surfing, Lighthouse, Touristy",3.0,na,
12,Chalai Bazaar,8.485124,76.950012,Market,Sunday,09:00-20:00,None,None,"Bustling, Shopping, Street-food",2.0,na,
13,Kanakakunnu Palace,8.511512,76.957512,Heritage,Monday,10:00-17:00,None,None,"Cultural, Green, Royal, Evening-walk",1.5,na,
14,Priyadarshini Planetarium,8.505012,76.947012,Science,Monday,10:00-17:00,None,None,"Educational, Space, Family, Indoor",1.5,na,
15,Akkulam Tourist Village,8.520011,76.905011,Park,None,10:00-20:00,None,None,"Boating, Lake-side, Kids, Adventure",2.0,na,
16,Pazhavangadi Ganapathi,8.484412,76.945512,Temple,None,04:30-10:45; 17:00-20:30,None,10:45-17:00,"Ganesha, Tradition, Coconut-breaking",0.5,na,
17,Villa Maya,8.486211,76.943011,Restaurant,None,11:00-23:00,None,None,"Fine-dining, Heritage, Romantic, Upscale",2.0,both,4.6
18,Indian Coffee House,8.488012,76.950511,Cafe,None,08:00-21:30,None,None,"Retro, Iconic, Architecture, Budget-eats",1.0,both,3.8
19,Poovar Island,8.318012,77.080011,Nature,None,09:00-17:00,None,None,"Backwaters, Mangroves, Floating-restaurant",3.0,na,
20,Neyyar Dam,8.530012,77.150011,Nature,Monday,09:00-16:00,None,None,"Dam, Crocodile-park, Lion-safari, Picnic",3.0,na,
21,Ponmudi Hills,8.759712,77.114311,Nature,None,08:00-16:00,None,None,"Mist, Tea-gardens, Trekking, Scenic-drive",4.0,na,
22,Sri Chitra Art Gallery,8.508912,76.955311,Art,Monday,10:00-16:45,Wed:13:00-16:45,None,"Ravi Varma, Paintings, History, Quiet",1.5,na,
23,Vizhinjam Rock Cut Cave,8.389011,76.990011,Heritage,Monday,09:00-18:00,None,None,"Ancient, Sculpture, Archaeological",0.5,na,
24,Zam Zam (Palayam),8.502511,76.950011,Restaurant,None,11:30-23:30,None,None,"Shawarma, Local-favorite, Lively, Halal",1.0,nonveg,4.3
25,Madavoorpara,8.570011,76.880011,Hidden Gem,None,09:00-18:00,None,None,"Cave-temple, Bamboo-bridge, Viewpoint",1.5,na,
26,Cafe Sarwaa,8.503011,76.963011,Cafe,None,10:30-21:30,None,None,"Cozy, Gifts, Garden-cafe, Peaceful",1.5,veg,4.6
27,Connemara Market,8.500011,76.950011,Market,Sunday,07:00-19:00,None,None,"Flowers, Local-life, Raw-energy",1.5,na,
28,Puthenthope Beach,8.540011,76.840011,Hidden Gem,None,00:00-23:59,None,None,"Secluded, Clean, Local, Sunset",1.5,na,
29,Beemapally Mosque,8.452011,76.931011,Religious,None,04:00-22:00,None,None,"Architecture, Spiritual, Massive, Pink",1.0,na,
30,Museum of History,8.505511,76.951511,Museum,Monday,10:00-17:30,None,None,"Hi-tech, Interactive, State-history",1.5,na,
